epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2493.57,1.0782,3.18988,1.27079,0.55917,0.49249,0.52007,0.34604,1.10609,2.14924,1.25824,0.000138115,0.000138115,0.000138115
2,4762.49,1.16012,2.08484,1.3444,0.58486,0.51699,0.53818,0.34192,1.17542,2.00052,1.32342,0.000271628,0.000271628,0.000271628
3,7083.53,1.17334,1.95203,1.34606,0.56684,0.47693,0.49416,0.3016,1.28931,2.19408,1.40023,0.000399637,0.000399637,0.000399637
4,9364.76,1.18235,1.90978,1.35421,0.55386,0.50495,0.51132,0.31522,1.26294,1.99228,1.39778,0.00039223,0.00039223,0.00039223
5,11634.3,1.15567,1.8123,1.33821,0.61716,0.53653,0.56032,0.34865,1.25999,1.84739,1.37668,0.000383974,0.000383974,0.000383974
6,13897.9,1.15951,1.74323,1.33722,0.6746,0.52562,0.58998,0.37564,1.21676,1.74553,1.33556,0.000375717,0.000375717,0.000375717
7,16175.2,1.14793,1.69699,1.33214,0.61313,0.54233,0.57624,0.36415,1.2242,1.76863,1.34953,0.00036746,0.00036746,0.00036746
8,18451.6,1.12432,1.64892,1.31626,0.64717,0.53465,0.59966,0.38072,1.20953,1.74542,1.35109,0.000359204,0.000359204,0.000359204
9,20723.7,1.09761,1.56629,1.30377,0.66604,0.53815,0.60094,0.39032,1.19794,1.64528,1.3373,0.000350947,0.000350947,0.000350947
10,23002,1.105,1.5509,1.30699,0.63554,0.5749,0.60703,0.38573,1.23373,1.64895,1.35797,0.000342691,0.000342691,0.000342691
11,25272.2,1.09109,1.50966,1.29492,0.68498,0.56495,0.62245,0.40222,1.19451,1.58331,1.319,0.000334434,0.000334434,0.000334434
12,27620.4,1.05898,1.44563,1.26333,0.66385,0.56402,0.62006,0.40686,1.18381,1.55645,1.31119,0.000326177,0.000326177,0.000326177
13,29899.9,1.06653,1.41025,1.27362,0.67924,0.60068,0.64179,0.41861,1.19895,1.51127,1.3221,0.000317921,0.000317921,0.000317921
14,32185.8,1.06818,1.40279,1.26491,0.71091,0.57408,0.64177,0.42273,1.17309,1.47505,1.30996,0.000309664,0.000309664,0.000309664
15,34455.6,1.04853,1.35437,1.25739,0.71098,0.55565,0.63897,0.41445,1.1757,1.48807,1.31615,0.000301408,0.000301408,0.000301408
16,36729.8,1.03297,1.30944,1.2401,0.70511,0.57631,0.64815,0.42106,1.19146,1.45112,1.31793,0.000293151,0.000293151,0.000293151
17,39065.8,1.02048,1.31532,1.24425,0.65945,0.57924,0.63278,0.4124,1.18144,1.46032,1.32253,0.000284894,0.000284894,0.000284894
18,41364.8,1.02831,1.28991,1.24052,0.68998,0.57924,0.6355,0.41727,1.18526,1.41122,1.31075,0.000276638,0.000276638,0.000276638
19,43623.4,1.00364,1.24853,1.22996,0.71274,0.59003,0.65573,0.43125,1.16842,1.37888,1.3022,0.000268381,0.000268381,0.000268381
20,45893.3,1.00386,1.21286,1.22043,0.72031,0.58904,0.66533,0.43771,1.17337,1.36898,1.30861,0.000260125,0.000260125,0.000260125
21,48155.8,0.98802,1.189,1.21871,0.69125,0.60103,0.65806,0.43397,1.18174,1.36211,1.3094,0.000251868,0.000251868,0.000251868
22,50413.9,0.98448,1.17513,1.2144,0.71029,0.61141,0.67117,0.44591,1.16727,1.33317,1.30279,0.000243611,0.000243611,0.000243611
23,52674.7,0.97626,1.16639,1.20897,0.73008,0.59508,0.66143,0.43315,1.1996,1.38088,1.3208,0.000235355,0.000235355,0.000235355
